Município,Municípios com serviço de esgotamento sanitário por rede coletora em funcionamento e com ETEs (Unidades),Número de ETEs (Unidades)
Salto de Pirapora (SP),1,1
Salto Grande (SP),1,1
Sandovalina (SP),1,1
Santa Adélia (SP),1,2
Santa Albertina (SP),1,1
Santa Bárbara d'Oeste (SP),1,5
Santa Branca (SP),1,1
Santa Clara d'Oeste (SP),1,1
Santa Cruz da Conceição (SP),1,1
Santa Cruz da Esperança (SP),1,1
Santa Cruz das Palmeiras (SP),0,0
Santa Cruz do Rio Pardo (SP),1,1
Santa Ernestina (SP),1,1
Santa Fé do Sul (SP),1,2
Santa Gertrudes (SP),1,1
Santa Isabel (SP),1,1
Santa Lúcia (SP),1,1
Santa Maria da Serra (SP),1,1
Santa Mercedes (SP),1,1
Santana da Ponte Pensa (SP),1,1
Santana de Parnaíba (SP),1,2
Santa Rita d'Oeste (SP),1,1
Santa Rita do Passa Quatro (SP),1,1
Santa Rosa de Viterbo (SP),1,3
Santa Salete (SP),1,1
Santo Anastácio (SP),1,2
Santo André (SP),1,1
Santo Antônio da Alegria (SP),1,1
Santo Antônio de Posse (SP),1,1
Santo Antônio do Aracanguá (SP),1,4
Santo Antônio do Jardim (SP),1,1
Santo Antônio do Pinhal (SP),1,1
Santo Expedito (SP),1,1
Santópolis do Aguapeí (SP),1,1
Santos (SP),1,1
São Bento do Sapucaí (SP),1,1
São Bernardo do Campo (SP),1,2
São Caetano do Sul (SP),0,0
São Carlos (SP),1,3
São Francisco (SP),1,1
São João da Boa Vista (SP),1,2
São João das Duas Pontes (SP),1,2
São João de Iracema (SP),1,1
São João do Pau d'Alho (SP),1,1
São Joaquim da Barra (SP),0,0
São José da Bela Vista (SP),1,1
São José do Barreiro (SP),0,0
São José do Rio Pardo (SP),1,3
São José do Rio Preto (SP),1,1
São José dos Campos (SP),1,3
São Lourenço da Serra (SP),1,2
São Luiz do Paraitinga (SP),1,2
São Manuel (SP),1,2
São Miguel Arcanjo (SP),1,3
São Paulo (SP),1,5
São Pedro (SP),1,1
São Pedro do Turvo (SP),1,2
São Roque (SP),1,2
São Sebastião (SP),1,7
São Sebastião da Grama (SP),0,0
São Simão (SP),0,0
São Vicente (SP),1,2
Sarapuí (SP),0,0
Sarutaiá (SP),1,1
Sebastianópolis do Sul (SP),1,1
Serra Azul (SP),1,1
Serrana (SP),0,0
Serra Negra (SP),1,1
Sertãozinho (SP),1,1
Sete Barras (SP),1,3
Severínia (SP),1,2
Silveiras (SP),1,1
Socorro (SP),1,1
Sorocaba (SP),1,8
Sud Mennucci (SP),1,2
Sumaré (SP),1,18
Suzano (SP),1,1
Suzanápolis (SP),1,1
Tabapuã (SP),1,2
Tabatinga (SP),1,2
Taboão da Serra (SP),0,0
Taciba (SP),1,1
Taguaí (SP),1,1
Taiaçu (SP),1,1
Taiúva (SP),1,3
Tambaú (SP),1,1
Tanabi (SP),1,3
Tapiraí (SP),1,2
Tapiratiba (SP),1,2
Taquaral (SP),1,1
Taquaritinga (SP),1,4
Taquarituba (SP),1,2
Taquarivaí (SP),1,1
Tarabai (SP),1,1
Tarumã (SP),1,1
Tatuí (SP),1,3
Taubaté (SP),1,2
Tejupá (SP),0,0
Teodoro Sampaio (SP),1,2
Terra Roxa (SP),1,1
Tietê (SP),1,3
Timburi (SP),1,1
Torre de Pedra (SP),1,1
Torrinha (SP),1,1
Trabiju (SP),1,1
Tremembé (SP),1,1
Três Fronteiras (SP),1,1
Tuiuti (SP),0,0
Tupã (SP),1,4
Tupi Paulista (SP),1,2
Turiúba (SP),1,1
Turmalina (SP),1,2
Ubarana (SP),1,1
Ubatuba (SP),1,8
Ubirajara (SP),1,1
Uchoa (SP),1,1
União Paulista (SP),1,1
Urânia (SP),1,1
Uru (SP),1,1
Urupês (SP),1,1
Valentim Gentil (SP),1,1
Valinhos (SP),1,2
Valparaíso (SP),1,3
Vargem (SP),1,1
Vargem Grande do Sul (SP),1,1
Vargem Grande Paulista (SP),1,1
Várzea Paulista (SP),1,1
Vera Cruz (SP),1,1
Vinhedo (SP),1,2
Viradouro (SP),1,2
Vista Alegre do Alto (SP),1,1
Vitória Brasil (SP),1,1
Votorantim (SP),1,3
Votuporanga (SP),1,2
Zacarias (SP),1,1
Chavantes (SP),1,1
Estiva Gerbi (SP),0,0
Abatiá (PR),1,1
Adrianópolis (PR),0,0
Agudos do Sul (PR),1,1
Almirante Tamandaré (PR),1,1
Altamira do Paraná (PR),1,1
Altônia (PR),1,1
Alto Paraná (PR),1,1
Alto Piquiri (PR),1,1
Alvorada do Sul (PR),0,0
Amaporã (PR),0,0
Ampére (PR),1,1
Anahy (PR),0,0
Andirá (PR),1,1
Ângulo (PR),0,0
Antonina (PR),0,0
Antônio Olinto (PR),0,0
Apucarana (PR),1,2
Arapongas (PR),1,2
Arapoti (PR),1,1
Arapuã (PR),0,0
Araruna (PR),1,1
Araucária (PR),1,3
Ariranha do Ivaí (PR),0,0
Assaí (PR),1,1
Assis Chateaubriand (PR),1,1
Astorga (PR),1,2
Atalaia (PR),0,0
Balsa Nova (PR),1,1
Bandeirantes (PR),1,1
Barbosa Ferraz (PR),1,1
Barracão (PR),0,0
Barra do Jacaré (PR),0,0
Bela Vista da Caroba (PR),0,0
Bela Vista do Paraíso (PR),1,1
Bituruna (PR),0,0
Boa Esperança (PR),0,0
Boa Esperança do Iguaçu (PR),0,0
Boa Ventura de São Roque (PR),0,0
Boa Vista da Aparecida (PR),0,0
Bocaiúva do Sul (PR),1,1
Bom Jesus do Sul (PR),0,0
Bom Sucesso (PR),0,0
Bom Sucesso do Sul (PR),0,0
Borrazópolis (PR),0,0
Braganey (PR),0,0
Brasilândia do Sul (PR),0,0
Cafeara (PR),0,0
Cafelândia (PR),1,1
Cafezal do Sul (PR),0,0
Califórnia (PR),0,0
Cambará (PR),1,1
Cambé (PR),1,1
Cambira (PR),0,0
Campina da Lagoa (PR),0,0
Campina do Simão (PR),0,0
Campina Grande do Sul (PR),1,1
Campo Bonito (PR),0,0
Campo do Tenente (PR),0,0
Campo Largo (PR),1,2
Campo Magro (PR),0,0
Campo Mourão (PR),1,2
Cândido de Abreu (PR),1,1
Candói (PR),1,1
Cantagalo (PR),1,1
Capanema (PR),1,1
Capitão Leônidas Marques (PR),0,0
Carambeí (PR),1,2
Carlópolis (PR),1,1
Cascavel (PR),1,4
Castro (PR),1,1
Catanduvas (PR),0,0
Centenário do Sul (PR),0,0
Cerro Azul (PR),1,1
Céu Azul (PR),1,1
Chopinzinho (PR),1,1
Cianorte (PR),1,2
Cidade Gaúcha (PR),1,1
Clevelândia (PR),1,1
Colombo (PR),1,1
Colorado (PR),0,0
Congonhinhas (PR),0,0
Conselheiro Mairinck (PR),1,1
Contenda (PR),1,1
Corbélia (PR),1,2
Cornélio Procópio (PR),1,3
Coronel Domingos Soares (PR),0,0
Coronel Vivida (PR),1,1
Corumbataí do Sul (PR),1,1
Cruzeiro do Iguaçu (PR),0,0
Cruzeiro do Oeste (PR),1,1
Cruzeiro do Sul (PR),0,0
Cruz Machado (PR),1,1
Cruzmaltina (PR),0,0
Curitiba (PR),1,5
Curiúva (PR),0,0
Diamante do Norte (PR),1,1
Diamante do Sul (PR),0,0
Diamante D'Oeste (PR),0,0
Dois Vizinhos (PR),1,1
Douradina (PR),0,0
Doutor Camargo (PR),1,1
Enéas Marques (PR),0,0
Engenheiro Beltrão (PR),1,1
Esperança Nova (PR),0,0
Entre Rios do Oeste (PR),0,0
Espigão Alto do Iguaçu (PR),0,0
Farol (PR),0,0
Faxinal (PR),1,1
Fazenda Rio Grande (PR),1,1
Fênix (PR),0,0
Fernandes Pinheiro (PR),0,0
Figueira (PR),1,1
Floraí (PR),1,1
Flor da Serra do Sul (PR),0,0
Floresta (PR),0,0
Florestópolis (PR),1,1
Flórida (PR),1,1
Formosa do Oeste (PR),0,0
Foz do Iguaçu (PR),1,5
Francisco Alves (PR),0,0
Francisco Beltrão (PR),1,2
Foz do Jordão (PR),0,0
General Carneiro (PR),1,1
Godoy Moreira (PR),0,0
Goioerê (PR),1,1
Goioxim (PR),0,0
Grandes Rios (PR),0,0
Guaíra (PR),1,1
Guairaçá (PR),0,0
Guamiranga (PR),0,0
Guapirama (PR),1,1
Guaporema (PR),0,0
Guaraci (PR),0,0
Guaraniaçu (PR),1,1
Guarapuava (PR),1,2
Guaraqueçaba (PR),1,1
Guaratuba (PR),1,1
Honório Serpa (PR),0,0
Ibaiti (PR),1,1
Ibema (PR),0,0
Ibiporã (PR),1,4
Icaraíma (PR),0,0
Iguaraçu (PR),0,0
Iguatu (PR),0,0
Imbaú (PR),1,1
Imbituva (PR),1,2
Inácio Martins (PR),1,1
Inajá (PR),0,0
Indianópolis (PR),0,0
Ipiranga (PR),1,1
Iporã (PR),1,1
Iracema do Oeste (PR),0,0
Irati (PR),1,2
Iretama (PR),0,0
Itaguajé (PR),0,0
Itaipulândia (PR),1,1
Itambaracá (PR),1,1
Itambé (PR),1,1
Itapejara d'Oeste (PR),0,0
Itaperuçu (PR),1,1
Itaúna do Sul (PR),0,0
Ivaí (PR),1,1
Ivaiporã (PR),1,1
Ivaté (PR),1,1
Ivatuba (PR),0,0
Jaboti (PR),0,0
Jacarezinho (PR),1,1
Jaguapitã (PR),1,1
Jaguariaíva (PR),1,1
Jandaia do Sul (PR),1,1
Janiópolis (PR),0,0
Japira (PR),0,0
Japurá (PR),1,1
Jardim Alegre (PR),0,0
Jardim Olinda (PR),0,0
Jataizinho (PR),1,1
Jesuítas (PR),0,0
Joaquim Távora (PR),1,1
Jundiaí do Sul (PR),0,0
Juranda (PR),0,0
Jussara (PR),1,1
Kaloré (PR),0,0
Lapa (PR),1,1
Laranjal (PR),0,0
Laranjeiras do Sul (PR),1,1
Leópolis (PR),0,0
Lidianópolis (PR),0,0
Lindoeste (PR),0,0
Loanda (PR),1,1
Lobato (PR),1,1
Londrina (PR),1,5
Luiziana (PR),0,0
Lunardelli (PR),0,0
Lupionópolis (PR),0,0
Mallet (PR),1,1
Mamborê (PR),1,1
Mandaguaçu (PR),1,1
Mandaguari (PR),1,2
Mandirituba (PR),1,1
Manfrinópolis (PR),0,0
Mangueirinha (PR),1,1
Manoel Ribas (PR),0,0
Marechal Cândido Rondon (PR),1,2
Maria Helena (PR),0,0
Marialva (PR),1,3
Marilândia do Sul (PR),1,1
Marilena (PR),0,0
Mariluz (PR),1,1
Maringá (PR),1,4
Mariópolis (PR),0,0
Maripá (PR),0,0
Marmeleiro (PR),1,1
Marquinho (PR),0,0
Marumbi (PR),0,0
Matelândia (PR),1,1
Matinhos (PR),1,1
Mato Rico (PR),0,0
Mauá da Serra (PR),0,0
Medianeira (PR),1,1
Mercedes (PR),0,0
Mirador (PR),0,0
Miraselva (PR),0,0
Missal (PR),0,0
Moreira Sales (PR),0,0
Morretes (PR),1,1
Munhoz de Melo (PR),0,0
Nossa Senhora das Graças (PR),0,0
Nova Aliança do Ivaí (PR),0,0
Nova América da Colina (PR),0,0
Nova Aurora (PR),1,1
Nova Cantu (PR),0,0
Nova Esperança (PR),1,1
Nova Esperança do Sudoeste (PR),0,0
Nova Fátima (PR),0,0
Nova Laranjeiras (PR),1,1
Nova Londrina (PR),1,1
Nova Olímpia (PR),0,0
Nova Santa Bárbara (PR),0,0
Nova Santa Rosa (PR),0,0
Nova Prata do Iguaçu (PR),0,0
Nova Tebas (PR),0,0
Novo Itacolomi (PR),0,0
Ortigueira (PR),1,1
Ourizona (PR),0,0
Ouro Verde do Oeste (PR),0,0
Paiçandu (PR),1,1
Palmas (PR),1,1
Palmeira (PR),1,1
Palmital (PR),1,1
Palotina (PR),1,1
Paraíso do Norte (PR),1,1
Paranacity (PR),1,1
Paranaguá (PR),1,5
Paranapoema (PR),0,0
Paranavaí (PR),1,2
Pato Bragado (PR),0,0
Pato Branco (PR),1,1
Paula Freitas (PR),0,0
Paulo Frontin (PR),0,0
Peabiru (PR),0,0
Perobal (PR),0,0
Pérola (PR),0,0
Pérola d'Oeste (PR),0,0
Piên (PR),0,0
Pinhais (PR),0,0
Pinhalão (PR),1,1
Pinhal de São Bento (PR),0,0
Pinhão (PR),1,2
Piraí do Sul (PR),1,1
Piraquara (PR),0,0
Pitanga (PR),1,1
Pitangueiras (PR),0,0
Planaltina do Paraná (PR),0,0
Planalto (PR),0,0
Ponta Grossa (PR),1,9
Pontal do Paraná (PR),1,1
Porecatu (PR),1,1
Porto Amazonas (PR),1,2
Porto Barreiro (PR),0,0
Porto Rico (PR),1,1
Porto Vitória (PR),0,0
Prado Ferreira (PR),1,1
Pranchita (PR),1,1
Presidente Castelo Branco (PR),1,1
Primeiro de Maio (PR),1,1
Prudentópolis (PR),1,2
Quarto Centenário (PR),0,0
Quatiguá (PR),1,1
Quatro Barras (PR),0,0
Quatro Pontes (PR),0,0
Quedas do Iguaçu (PR),1,2
Querência do Norte (PR),0,0
Quinta do Sol (PR),0,0
Quitandinha (PR),1,1
Ramilândia (PR),0,0
Rancho Alegre (PR),0,0
Rancho Alegre D'Oeste (PR),0,0
Realeza (PR),1,1
Rebouças (PR),1,1
Renascença (PR),1,1
Reserva (PR),1,1
Reserva do Iguaçu (PR),1,1
Ribeirão Claro (PR),1,1
Ribeirão do Pinhal (PR),1,1
Rio Azul (PR),1,1
Rio Bom (PR),0,0
Rio Bonito do Iguaçu (PR),0,0
Rio Branco do Ivaí (PR),0,0
Rio Branco do Sul (PR),0,0
Rio Negro (PR),1,1
Rolândia (PR),1,3
Roncador (PR),0,0
Rondon (PR),1,1
Rosário do Ivaí (PR),1,1
Sabáudia (PR),0,0
Salgado Filho (PR),0,0
Salto do Itararé (PR),1,1
Salto do Lontra (PR),1,1
Santa Amélia (PR),0,0
Santa Cecília do Pavão (PR),1,1
Santa Cruz de Monte Castelo (PR),0,0
Santa Fé (PR),1,1
Santa Helena (PR),1,1
Santa Inês (PR),0,0
Santa Isabel do Ivaí (PR),1,1
Santa Izabel do Oeste (PR),0,0
Santa Lúcia (PR),0,0
Santa Maria do Oeste (PR),0,0
Santa Mariana (PR),1,1
Santa Mônica (PR),0,0
Santana do Itararé (PR),1,1
Santa Tereza do Oeste (PR),0,0
Santa Terezinha de Itaipu (PR),1,1
Santo Antônio da Platina (PR),1,1
Santo Antônio do Caiuá (PR),0,0
Santo Antônio do Paraíso (PR),0,0
Santo Antônio do Sudoeste (PR),1,1
Santo Inácio (PR),1,1
São Carlos do Ivaí (PR),0,0
São Jerônimo da Serra (PR),0,0
São João (PR),1,1
São João do Caiuá (PR),1,1
São João do Ivaí (PR),1,1
São João do Triunfo (PR),1,1
São Jorge d'Oeste (PR),0,0
São Jorge do Ivaí (PR),1,1
São Jorge do Patrocínio (PR),0,0
São José da Boa Vista (PR),0,0
São José das Palmeiras (PR),0,0
São José dos Pinhais (PR),1,2
São Manoel do Paraná (PR),0,0
São Mateus do Sul (PR),1,1
São Miguel do Iguaçu (PR),1,1
São Pedro do Iguaçu (PR),0,0
São Pedro do Ivaí (PR),1,1
São Pedro do Paraná (PR),0,0
São Sebastião da Amoreira (PR),0,0
São Tomé (PR),0,0
Sapopema (PR),0,0
Sarandi (PR),1,2
Saudade do Iguaçu (PR),0,0
Sengés (PR),1,1
Serranópolis do Iguaçu (PR),0,0
Sertaneja (PR),0,0
Sertanópolis (PR),1,1
Siqueira Campos (PR),1,1
Sulina (PR),0,0
Tamarana (PR),1,1
Tamboara (PR),0,0
Tapejara (PR),1,1
Tapira (PR),0,0
Teixeira Soares (PR),1,1
Telêmaco Borba (PR),1,5
Terra Boa (PR),1,2
Terra Rica (PR),1,1
Terra Roxa (PR),1,1
Tibagi (PR),1,1
Tijucas do Sul (PR),0,0
Toledo (PR),1,7
Tomazina (PR),1,1
Três Barras do Paraná (PR),1,1
Tunas do Paraná (PR),0,0
Tuneiras do Oeste (PR),1,1
Tupãssi (PR),0,0
Turvo (PR),0,0
Ubiratã (PR),1,1
Umuarama (PR),1,1
União da Vitória (PR),1,3
Uniflor (PR),0,0
Uraí (PR),1,1
Wenceslau Braz (PR),1,2
Ventania (PR),1,1
Vera Cruz do Oeste (PR),1,2
Verê (PR),0,0
Alto Paraíso (PR),1,1
Doutor Ulysses (PR),0,0
Virmond (PR),0,0
Vitorino (PR),0,0
Xambrê (PR),1,1
Abdon Batista (SC),1,1
Abelardo Luz (SC),0,0
Agrolândia (SC),0,0
Agronômica (SC),0,0
Água Doce (SC),0,0
Águas de Chapecó (SC),0,0
Águas Frias (SC),0,0
Águas Mornas (SC),0,0
Alfredo Wagner (SC),0,0
Alto Bela Vista (SC),0,0
Anchieta (SC),0,0
Angelina (SC),0,0
Anita Garibaldi (SC),0,0
Anitápolis (SC),0,0
Antônio Carlos (SC),0,0
Apiúna (SC),0,0
Arabutã (SC),0,0
Araquari (SC),0,0
Araranguá (SC),1,1
Armazém (SC),0,0
Arroio Trinta (SC),1,6
Arvoredo (SC),0,0
Ascurra (SC),0,0
Atalanta (SC),0,0
Aurora (SC),0,0
Balneário Arroio do Silva (SC),0,0
Balneário Camboriú (SC),1,2
Balneário Barra do Sul (SC),0,0
Balneário Gaivota (SC),0,0
Bandeirante (SC),0,0
Barra Bonita (SC),0,0
Barra Velha (SC),0,0
Bela Vista do Toldo (SC),0,0
Belmonte (SC),0,0
Benedito Novo (SC),0,0
Biguaçu (SC),0,0
Blumenau (SC),1,30
Bocaina do Sul (SC),0,0
Bombinhas (SC),1,1
Bom Jardim da Serra (SC),1,1
Bom Jesus (SC),0,0
Bom Jesus do Oeste (SC),0,0
Bom Retiro (SC),0,0
Botuverá (SC),0,0
Braço do Norte (SC),0,0
Braço do Trombudo (SC),0,0
Brunópolis (SC),0,0
Brusque (SC),0,0
Caçador (SC),1,1
Caibi (SC),0,0
Calmon (SC),0,0
Camboriú (SC),0,0
Capão Alto (SC),0,0
Campo Alegre (SC),0,0
Campo Belo do Sul (SC),0,0
Campo Erê (SC),0,0
Campos Novos (SC),1,8
Canelinha (SC),0,0
Canoinhas (SC),0,0
Capinzal (SC),1,2
Capivari de Baixo (SC),0,0
Catanduvas (SC),1,1
Caxambu do Sul (SC),0,0
Celso Ramos (SC),0,0
Cerro Negro (SC),0,0
Chapadão do Lageado (SC),0,0
Chapecó (SC),1,1
Cocal do Sul (SC),0,0
Concórdia (SC),1,1
Cordilheira Alta (SC),1,2
Coronel Freitas (SC),0,0
Coronel Martins (SC),0,0
Corupá (SC),0,0
Correia Pinto (SC),0,0
Criciúma (SC),1,1
Cunha Porã (SC),0,0
Cunhataí (SC),0,0
Curitibanos (SC),0,0
Descanso (SC),0,0
Dionísio Cerqueira (SC),1,1
Dona Emma (SC),0,0
Doutor Pedrinho (SC),0,0
Entre Rios (SC),1,2
Ermo (SC),0,0
Erval Velho (SC),0,0
Faxinal dos Guedes (SC),1,1
Flor do Sertão (SC),0,0
Florianópolis (SC),1,6
Formosa do Sul (SC),0,0
Forquilhinha (SC),0,0
Fraiburgo (SC),1,4
Frei Rogério (SC),0,0
Galvão (SC),1,1
Garopaba (SC),0,0
Garuva (SC),0,0
Gaspar (SC),0,0
Governador Celso Ramos (SC),1,2
Grão-Pará (SC),0,0
Gravatal (SC),1,1
Guabiruba (SC),0,0
Guaraciaba (SC),0,0
Guaramirim (SC),0,0
Guarujá do Sul (SC),0,0
Guatambú (SC),0,0
Herval d'Oeste (SC),1,1
Ibiam (SC),1,2
Ibicaré (SC),0,0
Ibirama (SC),0,0
Içara (SC),1,1
Ilhota (SC),0,0
Imaruí (SC),0,0
Imbituba (SC),1,1
Imbuia (SC),0,0
Indaial (SC),1,1
Iomerê (SC),0,0
Ipira (SC),0,0
Iporã do Oeste (SC),0,0
Ipuaçu (SC),0,0
Ipumirim (SC),0,0
Iraceminha (SC),0,0
Irani (SC),0,0
Irati (SC),0,0
Irineópolis (SC),0,0
Itá (SC),1,3
Itaiópolis (SC),0,0
Itajaí (SC),1,1
Itapema (SC),1,1
Itapiranga (SC),1,4
Itapoá (SC),0,0
Ituporanga (SC),0,0
Jaborá (SC),0,0
Jacinto Machado (SC),0,0
Jaguaruna (SC),0,0
Jaraguá do Sul (SC),1,4
Jardinópolis (SC),0,0
Joaçaba (SC),0,0
Joinville (SC),1,8
José Boiteux (SC),0,0
Jupiá (SC),0,0
Lacerdópolis (SC),0,0
Lages (SC),1,3
Laguna (SC),1,1
Lajeado Grande (SC),0,0
Laurentino (SC),0,0
Lauro Müller (SC),0,0
Lebon Régis (SC),0,0
Leoberto Leal (SC),0,0
Lindóia do Sul (SC),0,0
Lontras (SC),0,0
Luiz Alves (SC),0,0
Luzerna (SC),1,1
Macieira (SC),0,0
Mafra (SC),0,0
Major Gercino (SC),0,0
Major Vieira (SC),0,0
Maracajá (SC),0,0
Maravilha (SC),0,0
Marema (SC),0,0
Massaranduba (SC),0,0
Matos Costa (SC),0,0
Meleiro (SC),0,0
Mirim Doce (SC),0,0
Modelo (SC),1,1
Mondaí (SC),0,0
Monte Carlo (SC),0,0
Monte Castelo (SC),0,0
Morro da Fumaça (SC),0,0
Morro Grande (SC),0,0
Navegantes (SC),0,0
Nova Erechim (SC),0,0
Nova Itaberaba (SC),0,0
Nova Trento (SC),0,0
Nova Veneza (SC),0,0
Novo Horizonte (SC),0,0
Orleans (SC),1,2
Otacílio Costa (SC),0,0
Ouro (SC),0,0
Ouro Verde (SC),0,0
Paial (SC),0,0
Painel (SC),0,0
Palhoça (SC),1,12
Palma Sola (SC),0,0
Palmeira (SC),0,0
Palmitos (SC),0,0
Papanduva (SC),0,0
Paraíso (SC),0,0
Passo de Torres (SC),0,0
Passos Maia (SC),0,0
Paulo Lopes (SC),0,0
Pedras Grandes (SC),0,0
Penha (SC),0,0
Peritiba (SC),0,0
Pescaria Brava (SC),0,0
Petrolândia (SC),0,0
Balneário Piçarras (SC),0,0
Pinhalzinho (SC),0,0
Pinheiro Preto (SC),1,2
Piratuba (SC),0,0
Planalto Alegre (SC),0,0
Pomerode (SC),1,1
Ponte Alta (SC),0,0
Ponte Alta do Norte (SC),0,0
Ponte Serrada (SC),0,0
Porto Belo (SC),0,0
Porto União (SC),0,0
Pouso Redondo (SC),0,0
Praia Grande (SC),1,1
Presidente Castello Branco (SC),0,0
Presidente Getúlio (SC),0,0
Presidente Nereu (SC),0,0
Princesa (SC),0,0
Quilombo (SC),0,0
Rancho Queimado (SC),1,1
Rio das Antas (SC),0,0
Rio do Campo (SC),0,0
Rio do Oeste (SC),0,0
Rio dos Cedros (SC),0,0
Rio do Sul (SC),0,0
Rio Fortuna (SC),0,0
Rio Negrinho (SC),1,11
Rio Rufino (SC),0,0
Riqueza (SC),0,0
Rodeio (SC),0,0
Romelândia (SC),0,0
Salete (SC),0,0
Saltinho (SC),0,0
Salto Veloso (SC),0,0
Sangão (SC),0,0
Santa Cecília (SC),0,0
Santa Helena (SC),0,0
Santa Rosa de Lima (SC),0,0
Santa Rosa do Sul (SC),0,0
Santa Terezinha (SC),0,0
Santa Terezinha do Progresso (SC),0,0
Santiago do Sul (SC),0,0
Santo Amaro da Imperatriz (SC),1,1
São Bernardino (SC),0,0
São Bento do Sul (SC),1,7
São Bonifácio (SC),0,0
São Carlos (SC),0,0
São Cristóvão do Sul (SC),0,0
São Domingos (SC),0,0
São Francisco do Sul (SC),0,0
São João do Oeste (SC),0,0
São João Batista (SC),0,0
São João do Itaperiú (SC),0,0
São João do Sul (SC),0,0
São Joaquim (SC),1,1
São José (SC),1,1
São José do Cedro (SC),0,0
São José do Cerrito (SC),0,0
São Lourenço do Oeste (SC),1,1
São Ludgero (SC),1,1
São Martinho (SC),0,0
São Miguel da Boa Vista (SC),0,0
São Miguel do Oeste (SC),0,0
São Pedro de Alcântara (SC),0,0
Saudades (SC),0,0
Schroeder (SC),0,0
Seara (SC),0,0
Serra Alta (SC),1,1
Siderópolis (SC),0,0
Sombrio (SC),1,1
Sul Brasil (SC),1,1
Taió (SC),0,0
Tangará (SC),0,0
Tigrinhos (SC),0,0
Tijucas (SC),1,1
Timbé do Sul (SC),0,0
Timbó (SC),0,0
Timbó Grande (SC),0,0
Três Barras (SC),1,1
Treviso (SC),0,0
Treze de Maio (SC),0,0
Treze Tílias (SC),1,1
Trombudo Central (SC),0,0
Tubarão (SC),0,0
Tunápolis (SC),1,1
Turvo (SC),0,0
União do Oeste (SC),0,0
Urubici (SC),0,0
Urupema (SC),0,0
Urussanga (SC),1,2
Vargeão (SC),0,0
Vargem (SC),0,0
Vargem Bonita (SC),1,1
Vidal Ramos (SC),0,0
Videira (SC),0,0
Vitor Meireles (SC),0,0
Witmarsum (SC),0,0
Xanxerê (SC),0,0
Xavantina (SC),0,0
Xaxim (SC),0,0
Zortéa (SC),0,0
Balneário Rincão (SC),0,0
Aceguá (RS),0,0
Água Santa (RS),0,0
Agudo (RS),0,0
Ajuricaba (RS),0,0
Alecrim (RS),0,0
Alegrete (RS),1,1
Alegria (RS),0,0
Almirante Tamandaré do Sul (RS),0,0
Alpestre (RS),0,0
Alto Alegre (RS),0,0
Alto Feliz (RS),0,0
Alvorada (RS),1,5
Amaral Ferrador (RS),0,0
Ametista do Sul (RS),0,0
André da Rocha (RS),0,0
Anta Gorda (RS),0,0
Antônio Prado (RS),0,0
Arambaré (RS),0,0
Araricá (RS),0,0
Aratiba (RS),0,0
Arroio do Meio (RS),0,0
Arroio do Sal (RS),0,0
Arroio do Padre (RS),0,0
Arroio dos Ratos (RS),0,0
Arroio do Tigre (RS),0,0
Arroio Grande (RS),0,0
Arvorezinha (RS),0,0
Augusto Pestana (RS),0,0
Áurea (RS),0,0
Bagé (RS),1,19
Balneário Pinhal (RS),0,0
Barão (RS),1,1
Barão de Cotegipe (RS),0,0
Barão do Triunfo (RS),0,0
Barracão (RS),0,0
Barra do Guarita (RS),0,0
Barra do Quaraí (RS),0,0
Barra do Ribeiro (RS),0,0
Barra do Rio Azul (RS),0,0
Barra Funda (RS),0,0
Barros Cassal (RS),0,0
Benjamin Constant do Sul (RS),0,0
Bento Gonçalves (RS),0,0
Boa Vista das Missões (RS),0,0
Boa Vista do Buricá (RS),0,0
Boa Vista do Cadeado (RS),0,0
Boa Vista do Incra (RS),0,0
Boa Vista do Sul (RS),0,0
Bom Jesus (RS),0,0
Bom Princípio (RS),0,0
Bom Progresso (RS),0,0
Bom Retiro do Sul (RS),0,0
Boqueirão do Leão (RS),0,0
Bossoroca (RS),0,0
Bozano (RS),0,0
Braga (RS),0,0
Brochier (RS),0,0
Butiá (RS),0,0
Caçapava do Sul (RS),0,0
Cacequi (RS),0,0
Cachoeira do Sul (RS),1,1
Cachoeirinha (RS),1,3
Cacique Doble (RS),0,0
Caibaté (RS),0,0
Caiçara (RS),1,1
Camaquã (RS),0,0
Camargo (RS),0,0
Cambará do Sul (RS),0,0
Campestre da Serra (RS),0,0
Campina das Missões (RS),1,5
Campinas do Sul (RS),0,0
Campo Bom (RS),0,0
Campo Novo (RS),0,0
Campos Borges (RS),0,0
Candelária (RS),0,0
Cândido Godói (RS),1,1
Candiota (RS),1,7
Canela (RS),1,6
Canguçu (RS),1,3
Canoas (RS),1,1
Canudos do Vale (RS),0,0
Capão Bonito do Sul (RS),0,0
Capão da Canoa (RS),1,2
Capão do Cipó (RS),0,0
Capão do Leão (RS),0,0
Capivari do Sul (RS),0,0
Capela de Santana (RS),0,0
Capitão (RS),1,4
Carazinho (RS),0,0
Caraá (RS),0,0
Carlos Barbosa (RS),0,0
Carlos Gomes (RS),0,0
Casca (RS),0,0
Caseiros (RS),0,0
Catuípe (RS),1,1
Caxias do Sul (RS),1,81
Centenário (RS),0,0
Cerrito (RS),0,0
Cerro Branco (RS),0,0
Cerro Grande (RS),0,0
Cerro Grande do Sul (RS),0,0
Cerro Largo (RS),0,0
Chapada (RS),0,0
