Município,Municípios com serviço de esgotamento sanitário por rede coletora em funcionamento e com ETEs (Unidades),Número de ETEs (Unidades)
Santa Rosa do Tocantins (TO),0,0
Santa Tereza do Tocantins (TO),0,0
Santa Terezinha do Tocantins (TO),0,0
São Bento do Tocantins (TO),0,0
São Félix do Tocantins (TO),0,0
São Miguel do Tocantins (TO),0,0
São Salvador do Tocantins (TO),0,0
São Sebastião do Tocantins (TO),0,0
São Valério (TO),0,0
Silvanópolis (TO),0,0
Sítio Novo do Tocantins (TO),0,0
Sucupira (TO),0,0
Taguatinga (TO),0,0
Taipas do Tocantins (TO),0,0
Talismã (TO),0,0
Palmas (TO),1,5
Tocantínia (TO),0,0
Tocantinópolis (TO),1,1
Tupirama (TO),0,0
Tupiratins (TO),0,0
Wanderlândia (TO),0,0
Xambioá (TO),0,0
Açailândia (MA),0,0
Afonso Cunha (MA),0,0
Água Doce do Maranhão (MA),0,0
Alcântara (MA),0,0
Aldeias Altas (MA),0,0
Altamira do Maranhão (MA),0,0
Alto Alegre do Maranhão (MA),0,0
Alto Alegre do Pindaré (MA),0,0
Alto Parnaíba (MA),1,1
Amapá do Maranhão (MA),0,0
Amarante do Maranhão (MA),0,0
Anajatuba (MA),0,0
Anapurus (MA),0,0
Apicum-Açu (MA),0,0
Araguanã (MA),0,0
Araioses (MA),0,0
Arame (MA),0,0
Arari (MA),0,0
Axixá (MA),0,0
Bacabal (MA),1,1
Bacabeira (MA),0,0
Bacuri (MA),0,0
Bacurituba (MA),0,0
Balsas (MA),0,0
Barão de Grajaú (MA),0,0
Barra do Corda (MA),0,0
Barreirinhas (MA),1,1
Belágua (MA),0,0
Bela Vista do Maranhão (MA),0,0
Benedito Leite (MA),0,0
Bequimão (MA),0,0
Bernardo do Mearim (MA),0,0
Boa Vista do Gurupi (MA),0,0
Bom Jardim (MA),0,0
Bom Jesus das Selvas (MA),0,0
Bom Lugar (MA),0,0
Brejo (MA),0,0
Brejo de Areia (MA),0,0
Buriti (MA),0,0
Buriti Bravo (MA),0,0
Buriticupu (MA),0,0
Buritirana (MA),0,0
Cachoeira Grande (MA),0,0
Cajapió (MA),0,0
Cajari (MA),0,0
Campestre do Maranhão (MA),0,0
Cândido Mendes (MA),0,0
Cantanhede (MA),0,0
Capinzal do Norte (MA),0,0
Carolina (MA),0,0
Carutapera (MA),0,0
Caxias (MA),1,2
Cedral (MA),0,0
Central do Maranhão (MA),0,0
Centro do Guilherme (MA),0,0
Centro Novo do Maranhão (MA),0,0
Chapadinha (MA),0,0
Cidelândia (MA),0,0
Codó (MA),1,1
Coelho Neto (MA),0,0
Colinas (MA),0,0
Conceição do Lago-Açu (MA),0,0
Coroatá (MA),0,0
Cururupu (MA),0,0
Davinópolis (MA),0,0
Dom Pedro (MA),0,0
Duque Bacelar (MA),0,0
Esperantinópolis (MA),0,0
Estreito (MA),0,0
Feira Nova do Maranhão (MA),0,0
Fernando Falcão (MA),0,0
Formosa da Serra Negra (MA),0,0
Fortaleza dos Nogueiras (MA),0,0
Fortuna (MA),0,0
Godofredo Viana (MA),0,0
Gonçalves Dias (MA),0,0
Governador Archer (MA),0,0
Governador Edison Lobão (MA),0,0
Governador Eugênio Barros (MA),0,0
Governador Luiz Rocha (MA),0,0
Governador Newton Bello (MA),0,0
Governador Nunes Freire (MA),0,0
Graça Aranha (MA),0,0
Grajaú (MA),0,0
Guimarães (MA),0,0
Humberto de Campos (MA),0,0
Icatu (MA),0,0
Igarapé do Meio (MA),0,0
Igarapé Grande (MA),0,0
Imperatriz (MA),1,4
Itaipava do Grajaú (MA),0,0
Itapecuru Mirim (MA),0,0
Itinga do Maranhão (MA),0,0
Jatobá (MA),0,0
Jenipapo dos Vieiras (MA),0,0
João Lisboa (MA),0,0
Joselândia (MA),0,0
Junco do Maranhão (MA),0,0
Lago da Pedra (MA),0,0
Lago do Junco (MA),0,0
Lago Verde (MA),0,0
Lagoa do Mato (MA),0,0
Lago dos Rodrigues (MA),0,0
Lagoa Grande do Maranhão (MA),0,0
Lajeado Novo (MA),0,0
Lima Campos (MA),0,0
Loreto (MA),0,0
Luís Domingues (MA),0,0
Magalhães de Almeida (MA),0,0
Maracaçumé (MA),0,0
Marajá do Sena (MA),0,0
Maranhãozinho (MA),0,0
Mata Roma (MA),0,0
Matinha (MA),0,0
Matões (MA),0,0
Matões do Norte (MA),0,0
Milagres do Maranhão (MA),0,0
Mirador (MA),0,0
Miranda do Norte (MA),0,0
Mirinzal (MA),0,0
Monção (MA),0,0
Montes Altos (MA),0,0
Morros (MA),0,0
Nina Rodrigues (MA),0,0
Nova Colinas (MA),0,0
Nova Iorque (MA),0,0
Nova Olinda do Maranhão (MA),0,0
Olho d'Água das Cunhãs (MA),0,0
Olinda Nova do Maranhão (MA),0,0
Paço do Lumiar (MA),1,6
Palmeirândia (MA),0,0
Paraibano (MA),0,0
Parnarama (MA),1,1
Passagem Franca (MA),0,0
Pastos Bons (MA),0,0
Paulino Neves (MA),0,0
Paulo Ramos (MA),0,0
Pedreiras (MA),0,0
Pedro do Rosário (MA),0,0
Penalva (MA),0,0
Peri Mirim (MA),0,0
Peritoró (MA),0,0
Pindaré-Mirim (MA),0,0
Pinheiro (MA),0,0
Pio XII (MA),0,0
Pirapemas (MA),0,0
Poção de Pedras (MA),0,0
Porto Franco (MA),1,1
Porto Rico do Maranhão (MA),0,0
Presidente Dutra (MA),0,0
Presidente Juscelino (MA),0,0
Presidente Médici (MA),0,0
Presidente Sarney (MA),0,0
Presidente Vargas (MA),0,0
Primeira Cruz (MA),0,0
Raposa (MA),0,0
Riachão (MA),0,0
Ribamar Fiquene (MA),0,0
Rosário (MA),0,0
Sambaíba (MA),0,0
Santa Filomena do Maranhão (MA),0,0
Santa Helena (MA),0,0
Santa Inês (MA),0,0
Santa Luzia (MA),0,0
Santa Luzia do Paruá (MA),0,0
Santa Quitéria do Maranhão (MA),0,0
Santa Rita (MA),0,0
Santana do Maranhão (MA),0,0
Santo Amaro do Maranhão (MA),0,0
Santo Antônio dos Lopes (MA),0,0
São Benedito do Rio Preto (MA),0,0
São Bento (MA),0,0
São Bernardo (MA),0,0
São Domingos do Azeitão (MA),0,0
São Domingos do Maranhão (MA),0,0
São Félix de Balsas (MA),0,0
São Francisco do Brejão (MA),0,0
São Francisco do Maranhão (MA),0,0
São João Batista (MA),0,0
São João do Carú (MA),0,0
São João do Paraíso (MA),0,0
São João do Soter (MA),0,0
São João dos Patos (MA),0,0
São José de Ribamar (MA),1,22
São José dos Basílios (MA),0,0
São Luís (MA),1,7
São Luís Gonzaga do Maranhão (MA),0,0
São Mateus do Maranhão (MA),0,0
São Pedro da Água Branca (MA),0,0
São Pedro dos Crentes (MA),0,0
São Raimundo das Mangabeiras (MA),0,0
São Raimundo do Doca Bezerra (MA),0,0
São Roberto (MA),0,0
São Vicente Ferrer (MA),0,0
Satubinha (MA),0,0
Senador Alexandre Costa (MA),0,0
Senador La Rocque (MA),0,0
Serrano do Maranhão (MA),0,0
Sítio Novo (MA),0,0
Sucupira do Norte (MA),0,0
Sucupira do Riachão (MA),0,0
Tasso Fragoso (MA),1,1
Timbiras (MA),0,0
Timon (MA),0,0
Trizidela do Vale (MA),0,0
Tufilândia (MA),0,0
Tuntum (MA),0,0
Turiaçu (MA),0,0
Turilândia (MA),0,0
Tutóia (MA),0,0
Urbano Santos (MA),0,0
Vargem Grande (MA),0,0
Viana (MA),0,0
Vila Nova dos Martírios (MA),0,0
Vitória do Mearim (MA),0,0
Vitorino Freire (MA),0,0
Zé Doca (MA),0,0
Acauã (PI),0,0
Agricolândia (PI),0,0
Água Branca (PI),1,1
Alagoinha do Piauí (PI),0,0
Alegrete do Piauí (PI),0,0
Alto Longá (PI),0,0
Altos (PI),1,1
Alvorada do Gurguéia (PI),0,0
Amarante (PI),0,0
Angical do Piauí (PI),0,0
Anísio de Abreu (PI),0,0
Antônio Almeida (PI),0,0
Aroazes (PI),0,0
Aroeiras do Itaim (PI),0,0
Arraial (PI),0,0
Assunção do Piauí (PI),0,0
Avelino Lopes (PI),0,0
Baixa Grande do Ribeiro (PI),0,0
Barra D'Alcântara (PI),0,0
Barras (PI),0,0
Barreiras do Piauí (PI),0,0
Barro Duro (PI),0,0
Batalha (PI),0,0
Bela Vista do Piauí (PI),1,1
Belém do Piauí (PI),0,0
Beneditinos (PI),0,0
Bertolínia (PI),0,0
Betânia do Piauí (PI),0,0
Boa Hora (PI),0,0
Bocaina (PI),0,0
Bom Jesus (PI),1,1
Bom Princípio do Piauí (PI),0,0
Bonfim do Piauí (PI),0,0
Boqueirão do Piauí (PI),0,0
Brasileira (PI),0,0
Brejo do Piauí (PI),0,0
Buriti dos Lopes (PI),0,0
Buriti dos Montes (PI),0,0
Cabeceiras do Piauí (PI),0,0
Cajazeiras do Piauí (PI),0,0
Cajueiro da Praia (PI),0,0
Caldeirão Grande do Piauí (PI),0,0
Campinas do Piauí (PI),0,0
Campo Alegre do Fidalgo (PI),0,0
Campo Grande do Piauí (PI),0,0
Campo Largo do Piauí (PI),0,0
Campo Maior (PI),1,1
Canavieira (PI),0,0
Canto do Buriti (PI),0,0
Capitão de Campos (PI),0,0
Capitão Gervásio Oliveira (PI),0,0
Caracol (PI),0,0
Caraúbas do Piauí (PI),0,0
Caridade do Piauí (PI),0,0
Castelo do Piauí (PI),0,0
Caxingó (PI),0,0
Cocal (PI),0,0
Cocal de Telha (PI),0,0
Cocal dos Alves (PI),0,0
Coivaras (PI),0,0
Colônia do Gurguéia (PI),0,0
Colônia do Piauí (PI),0,0
Conceição do Canindé (PI),0,0
Coronel José Dias (PI),0,0
Corrente (PI),1,1
Cristalândia do Piauí (PI),0,0
Cristino Castro (PI),0,0
Curimatá (PI),0,0
Currais (PI),0,0
Curralinhos (PI),0,0
Curral Novo do Piauí (PI),0,0
Demerval Lobão (PI),0,0
Dirceu Arcoverde (PI),0,0
Dom Expedito Lopes (PI),0,0
Domingos Mourão (PI),0,0
Dom Inocêncio (PI),0,0
Elesbão Veloso (PI),0,0
Eliseu Martins (PI),0,0
Esperantina (PI),0,0
Fartura do Piauí (PI),0,0
Flores do Piauí (PI),0,0
Floresta do Piauí (PI),0,0
Floriano (PI),1,1
Francinópolis (PI),0,0
Francisco Ayres (PI),0,0
Francisco Macedo (PI),0,0
Francisco Santos (PI),0,0
Fronteiras (PI),0,0
Geminiano (PI),0,0
Gilbués (PI),0,0
Guadalupe (PI),0,0
Guaribas (PI),0,0
Hugo Napoleão (PI),0,0
Ilha Grande (PI),0,0
Inhuma (PI),0,0
Ipiranga do Piauí (PI),0,0
Isaías Coelho (PI),0,0
Itainópolis (PI),0,0
Itaueira (PI),0,0
Jacobina do Piauí (PI),0,0
Jaicós (PI),0,0
Jardim do Mulato (PI),0,0
Jatobá do Piauí (PI),0,0
Jerumenha (PI),0,0
João Costa (PI),0,0
Joaquim Pires (PI),0,0
Joca Marques (PI),0,0
José de Freitas (PI),1,1
Juazeiro do Piauí (PI),0,0
Júlio Borges (PI),0,0
Jurema (PI),0,0
Lagoinha do Piauí (PI),0,0
Lagoa Alegre (PI),0,0
Lagoa do Barro do Piauí (PI),0,0
Lagoa de São Francisco (PI),0,0
Lagoa do Piauí (PI),0,0
Lagoa do Sítio (PI),0,0
Landri Sales (PI),0,0
Luís Correia (PI),0,0
Luzilândia (PI),0,0
Madeiro (PI),0,0
Manoel Emídio (PI),0,0
Marcolândia (PI),0,0
Marcos Parente (PI),0,0
Massapê do Piauí (PI),0,0
Matias Olímpio (PI),0,0
Miguel Alves (PI),0,0
Miguel Leão (PI),0,0
Milton Brandão (PI),0,0
Monsenhor Gil (PI),0,0
Monsenhor Hipólito (PI),0,0
Monte Alegre do Piauí (PI),0,0
Morro Cabeça no Tempo (PI),0,0
Morro do Chapéu do Piauí (PI),0,0
Murici dos Portelas (PI),0,0
Nazaré do Piauí (PI),0,0
Nazária (PI),0,0
Nossa Senhora de Nazaré (PI),0,0
Nossa Senhora dos Remédios (PI),0,0
Novo Oriente do Piauí (PI),0,0
Novo Santo Antônio (PI),0,0
Oeiras (PI),1,2
Olho D'Água do Piauí (PI),0,0
Padre Marcos (PI),0,0
Paes Landim (PI),0,0
Pajeú do Piauí (PI),0,0
Palmeira do Piauí (PI),0,0
Palmeirais (PI),0,0
Paquetá (PI),0,0
Parnaguá (PI),0,0
Parnaíba (PI),1,1
Passagem Franca do Piauí (PI),0,0
Patos do Piauí (PI),0,0
Pau D'Arco do Piauí (PI),0,0
Paulistana (PI),0,0
Pavussu (PI),0,0
Pedro II (PI),0,0
Pedro Laurentino (PI),0,0
Nova Santa Rita (PI),0,0
Picos (PI),1,3
Pimenteiras (PI),0,0
Pio IX (PI),0,0
Piracuruca (PI),0,0
Piripiri (PI),0,0
Porto (PI),1,1
Porto Alegre do Piauí (PI),0,0
Prata do Piauí (PI),0,0
Queimada Nova (PI),0,0
Redenção do Gurguéia (PI),0,0
Regeneração (PI),0,0
Riacho Frio (PI),0,0
Ribeira do Piauí (PI),0,0
Ribeiro Gonçalves (PI),1,1
Rio Grande do Piauí (PI),0,0
Santa Cruz do Piauí (PI),0,0
Santa Cruz dos Milagres (PI),0,0
Santa Filomena (PI),0,0
Santa Luz (PI),0,0
Santana do Piauí (PI),0,0
Santa Rosa do Piauí (PI),0,0
Santo Antônio de Lisboa (PI),0,0
Santo Antônio dos Milagres (PI),0,0
Santo Inácio do Piauí (PI),0,0
São Braz do Piauí (PI),0,0
São Félix do Piauí (PI),0,0
São Francisco de Assis do Piauí (PI),0,0
São Francisco do Piauí (PI),0,0
São Gonçalo do Gurguéia (PI),0,0
São Gonçalo do Piauí (PI),0,0
São João da Canabrava (PI),0,0
São João da Fronteira (PI),0,0
São João da Serra (PI),0,0
São João da Varjota (PI),0,0
São João do Arraial (PI),0,0
São João do Piauí (PI),0,0
São José do Divino (PI),0,0
São José do Peixe (PI),0,0
São José do Piauí (PI),0,0
São Julião (PI),0,0
São Lourenço do Piauí (PI),0,0
São Luis do Piauí (PI),0,0
São Miguel da Baixa Grande (PI),0,0
São Miguel do Fidalgo (PI),0,0
São Miguel do Tapuio (PI),0,0
São Pedro do Piauí (PI),0,0
São Raimundo Nonato (PI),1,1
Sebastião Barros (PI),0,0
Sebastião Leal (PI),0,0
Sigefredo Pacheco (PI),0,0
Simões (PI),0,0
Simplício Mendes (PI),0,0
Socorro do Piauí (PI),0,0
Sussuapara (PI),0,0
Tamboril do Piauí (PI),0,0
Tanque do Piauí (PI),0,0
Teresina (PI),1,3
União (PI),0,0
Uruçuí (PI),0,0
Valença do Piauí (PI),0,0
Várzea Branca (PI),0,0
Várzea Grande (PI),0,0
Vera Mendes (PI),0,0
